Instancias\Testes\Hibrido Instancia-Ins1-Pr0.050000-Pm0.050000-Ger10-Pop10-Iter10;;;;;;;;
Iteracao;Probbilidade de mutacao;Probabilidade de crossover;Tamanho da populacao;Maximo Geracoes;Solucao;MBF;Percentagem de Invalidos;Melhor
0;0.050000;0.050000;10;10;6 12 15 17 18 19 23 24 25 26 ;#NOME?;100.000000;0
1;0.050000;0.050000;10;10;1 11 14 15 16 19 20 22 26 28 ;-96.000000;100.000000;0
2;0.050000;0.050000;10;10;2 8 17 21 22 23 24 25 ;-64.000000;100.000000;0
3;0.050000;0.050000;10;10;2 6 10 13 14 16 18 19 22 24 ;-56.666668;100.000000;0
4;0.050000;0.050000;10;10;1 8 13 19 20 22 23 24 25 ;-53.500000;100.000000;0
5;0.050000;0.050000;10;10;10 11 16 21 23 24 25 26 27 28 ;-51.200001;100.000000;0
6;0.050000;0.050000;10;10;1 2 6 8 14 17 18 ;-46.666668;100.000000;0
7;0.050000;0.050000;10;10;2 3 5 6 9 10 18 24 25 26 28 ;-46.571430;100.000000;0
8;0.050000;0.050000;10;10;2 3 10 11 13 16 17 19 27 ;-46.250000;100.000000;0
9;0.050000;0.050000;10;10;1 5 6 12 19 23 25 28 ;-43.777779;100.000000;0
6;0.050000;0.050000;10;10;1 2 6 8 14 17 18 ;-39.400002;100.000000;0
