Trepa-Colinas;;;;
Iteracao;Solucao;MBF;Custo;Best
0;2 10 11 13 14 15 24 30 37 38 39 41 42 45 46 48 54 58 59 62 ;#NOME?;-332;0
1;1 3 7 12 13 14 15 16 23 25 29 30 33 34 36 40 41 42 44 45 58 60 62 64 ;-820.000000;-488;0
2;7 12 16 25 27 28 36 38 39 40 42 46 51 52 57 60 61 63 ;-546.000000;-272;0
3;2 4 7 9 10 13 14 15 18 21 24 26 28 29 37 43 47 48 49 51 53 54 56 61 62 ;-545.333313;-544;0
4;1 2 3 4 7 8 9 11 17 19 23 24 25 29 33 35 36 41 44 45 52 56 58 60 61 64 ;-552.000000;-572;0
5;5 6 9 10 12 14 17 18 20 22 24 26 28 32 33 34 37 41 50 54 55 56 59 60 ;-539.200012;-488;0
6;2 5 6 10 15 19 20 22 24 27 32 37 38 45 49 50 51 52 59 64 ;-505.333344;-336;0
7;1 2 3 4 5 7 10 12 13 24 30 31 37 38 39 40 41 43 45 50 53 54 60 ;-498.285706;-456;0
8;4 10 11 14 19 23 24 26 28 35 36 43 49 50 51 58 61 63 64 ;-474.500000;-308;0
9;4 9 14 20 21 22 23 26 28 31 43 47 48 51 52 55 56 ;-448.888885;-244;0
9;4 9 14 20 21 22 23 26 28 31 43 47 48 51 52 55 56 ;-404.000000;-244;1
;;;;
;;;;
;;;;
;;;;
;;-244;;
