Instancias\Testes\Evolutivo Instancia-Ins1-Pr0.050000-Pm0.050000-Ger10-Pop10-Iter100;;;;;;;;
Iteracao;Probbilidade de mutacao;Probabilidade de crossover;Tamanho da populacao;Maximo Geracoes;Solucao;MBF;Percentagem de Invalidos;Melhor
0;0.050000;0.050000;10;10;2 6 8 9 12 18 21 24 26 ;#NOME?;100.000000;0
1;0.050000;0.050000;10;10;7 16 17 18 19 20 21 22 27 ;-68.000000;100.000000;0
2;0.050000;0.050000;10;10;15 19 20 25 27 28 ;-40.000000;100.000000;0
3;0.050000;0.050000;10;10;2 4 9 10 11 15 16 19 20 25 ;-41.333332;100.000000;0
4;0.050000;0.050000;10;10;2 5 7 8 11 13 17 ;-37.000000;100.000000;0
5;0.050000;0.050000;10;10;3 10 14 15 19 20 ;-32.400002;100.000000;0
6;0.050000;0.050000;10;10;2 18 22 25 26 28 ;-29.000000;100.000000;0
7;0.050000;0.050000;10;10;1 2 4 5 10 12 13 14 19 ;-29.428572;100.000000;0
8;0.050000;0.050000;10;10;2 4 6 11 14 17 18 20 21 28 ;-31.500000;100.000000;0
9;0.050000;0.050000;10;10;2 7 9 12 14 21 24 26 ;-31.777779;100.000000;0
10;0.050000;0.050000;10;10;7 9 10 13 15 23 26 27 28 ;-31.799999;100.000000;0
11;0.050000;0.050000;10;10;3 4 6 13 18 20 25 26 ;-31.818182;100.000000;0
12;0.050000;0.050000;10;10;1 3 4 6 9 13 15 25 ;-31.666666;100.000000;0
13;0.050000;0.050000;10;10;2 4 5 7 14 16 20 21 22 27 ;-32.923077;100.000000;0
14;0.050000;0.050000;10;10;4 14 15 18 20 21 25 27 ;-32.571430;100.000000;0
15;0.050000;0.050000;10;10;8 9 13 16 17 20 22 28 ;-32.400002;100.000000;0
16;0.050000;0.050000;10;10;1 2 5 8 12 14 18 20 24 28 ;-33.875000;100.000000;0
17;0.050000;0.050000;10;10;2 3 5 9 10 11 14 16 21 28 ;-35.176472;100.000000;0
18;0.050000;0.050000;10;10;5 6 7 9 12 13 14 21 22 ;-35.555557;100.000000;0
19;0.050000;0.050000;10;10;4 9 12 14 15 17 22 23 25 26 27 ;-36.736843;100.000000;0
20;0.050000;0.050000;10;10;2 3 6 14 17 19 24 25 ;-36.200001;100.000000;0
21;0.050000;0.050000;10;10;1 2 18 19 20 25 26 ;-35.714287;100.000000;0
22;0.050000;0.050000;10;10;1 2 7 8 10 11 12 17 20 21 ;-36.000000;100.000000;0
23;0.050000;0.050000;10;10;4 7 8 9 10 13 15 17 25 26 ;-36.347828;100.000000;0
24;0.050000;0.050000;10;10;3 4 5 6 7 8 26 ;-35.666668;100.000000;0
25;0.050000;0.050000;10;10;6 7 8 9 10 16 20 21 28 ;-35.599998;100.000000;0
26;0.050000;0.050000;10;10;4 5 7 9 10 11 15 18 20 ;-35.538460;100.000000;0
27;0.050000;0.050000;10;10;10 13 15 16 21 23 26 27 ;-35.333332;100.000000;0
28;0.050000;0.050000;10;10;4 11 16 17 19 23 25 27 ;-35.071430;100.000000;0
29;0.050000;0.050000;10;10;1 4 5 8 12 13 16 19 28 ;-35.241379;100.000000;0
30;0.050000;0.050000;10;10;10 15 17 18 21 24 25 ;-34.933334;100.000000;0
31;0.050000;0.050000;10;10;1 7 8 11 15 21 22 23 24 28 ;-35.290321;100.000000;0
32;0.050000;0.050000;10;10;2 6 9 13 19 27 28 ;-34.875000;100.000000;0
33;0.050000;0.050000;10;10;12 14 17 20 21 24 25 28 ;-34.666668;100.000000;0
34;0.050000;0.050000;10;10;1 2 7 11 13 18 19 20 21 26 28 ;-35.352940;100.000000;0
35;0.050000;0.050000;10;10;1 15 16 17 18 19 22 26 28 ;-35.371429;100.000000;0
36;0.050000;0.050000;10;10;8 12 15 17 20 22 24 26 ;-35.166668;100.000000;0
37;0.050000;0.050000;10;10;3 4 11 13 14 19 23 25 27 28 ;-35.459461;100.000000;0
38;0.050000;0.050000;10;10;1 7 8 10 12 15 16 17 20 21 ;-35.421051;100.000000;0
39;0.050000;0.050000;10;10;2 7 9 16 18 20 21 23 24 27 ;-35.692307;100.000000;0
40;0.050000;0.050000;10;10;2 3 6 8 10 11 12 20 26 ;-35.849998;100.000000;0
41;0.050000;0.050000;10;10;1 3 5 8 16 18 22 23 24 ;-35.756096;100.000000;0
42;0.050000;0.050000;10;10;2 4 5 14 18 19 21 22 24 ;-35.809525;100.000000;0
43;0.050000;0.050000;10;10;3 5 7 9 15 17 18 23 25 26 28 ;-36.372093;100.000000;0
44;0.050000;0.050000;10;10;2 11 12 13 17 18 19 20 27 28 ;-36.590908;100.000000;0
45;0.050000;0.050000;10;10;3 4 8 9 10 13 15 20 22 26 ;-36.755554;100.000000;0
46;0.050000;0.050000;10;10;3 4 6 9 11 14 16 21 ;-36.608696;100.000000;0
47;0.050000;0.050000;10;10;2 11 13 15 19 21 22 24 27 28 ;-36.680851;100.000000;0
48;0.050000;0.050000;10;10;1 4 5 8 9 17 20 26 ;-36.458332;100.000000;0
49;0.050000;0.050000;10;10;1 3 7 9 11 13 14 15 22 23 26 ;-36.857143;100.000000;0
50;0.050000;0.050000;10;10;1 4 8 10 12 15 18 19 20 ;-36.880001;100.000000;0
51;0.050000;0.050000;10;10;6 9 16 18 19 21 22 ;-36.549019;100.000000;0
52;0.050000;0.050000;10;10;4 13 14 15 16 17 18 19 21 23 27 ;-36.923077;100.000000;0
