Instancias\Testes\Hibrido Instancia-Ins1-Pr0.050000-Pm0.050000-Ger50-Pop50-Iter10;;;;;;;;
Iteracao;Probbilidade de mutacao;Probabilidade de crossover;Tamanho da populacao;Maximo Geracoes;Solucao;MBF;Percentagem de Invalidos;Melhor
0;0.050000;0.050000;50;50;3 4 11 22 23 24 26 27 ;#NOME?;100.000000;0
1;0.050000;0.050000;50;50;4 8 12 14 23 24 ;-42.000000;100.000000;0
2;0.050000;0.050000;50;50;1 2 6 10 12 21 24 ;-35.000000;100.000000;0
3;0.050000;0.050000;50;50;7 8 9 14 16 20 27 ;-31.333334;100.000000;0
4;0.050000;0.050000;50;50;13 14 17 27 ;-25.000000;100.000000;0
5;0.050000;0.050000;50;50;7 12 18 19 24 ;-23.200001;100.000000;0
6;0.050000;0.050000;50;50;5 7 8 15 23 ;-20.666666;100.000000;0
7;0.050000;0.050000;50;50;1 5 8 11 12 19 28 ;-20.857143;100.000000;0
8;0.050000;0.050000;50;50;1 12 16 17 27 ;-19.250000;100.000000;0
9;0.050000;0.050000;50;50;3 4 7 17 19 22 ;-19.111111;100.000000;0
4;0.050000;0.050000;50;50;13 14 17 27 ;-17.200001;100.000000;0
