Instancias\Testes\Evolutivo Instancia-Ins2-Pr0.250000-Pm0.250000-Ger50-Pop50-Iter100;;;;;;;;
Iteracao;Probbilidade de mutacao;Probabilidade de crossover;Tamanho da populacao;Maximo Geracoes;Solucao;MBF;Percentagem de Invalidos;Melhor
0;0.250000;0.250000;50;50;2 3 6 11 14 16 18 19 22 30 32 38 39 42 43 46 50 51 53 60 63 ;#NOME?;100.000000;0
1;0.250000;0.250000;50;50;1 2 5 6 9 15 16 19 22 29 31 33 34 38 39 45 46 50 55 57 ;-726.000000;100.000000;0
2;0.250000;0.250000;50;50;2 6 7 9 10 12 14 16 28 37 38 41 45 51 54 55 58 60 ;-498.000000;100.000000;0
3;0.250000;0.250000;50;50;1 4 6 10 15 34 36 37 39 40 41 47 53 58 ;-387.333344;100.000000;0
4;0.250000;0.250000;50;50;2 10 15 34 39 40 41 47 49 50 51 53 55 58 62 64 ;-343.000000;100.000000;0
5;0.250000;0.250000;50;50;7 9 10 18 21 25 26 27 28 31 32 34 41 42 45 48 50 51 57 60 61 ;-349.200012;100.000000;0
6;0.250000;0.250000;50;50;1 3 5 6 13 17 20 21 23 24 26 30 32 36 40 42 43 54 62 64 ;-348.333344;100.000000;0
7;0.250000;0.250000;50;50;1 4 5 6 19 22 24 25 28 29 30 35 36 39 40 47 54 57 59 60 64 ;-353.142853;100.000000;0
8;0.250000;0.250000;50;50;6 10 12 14 16 18 21 24 25 28 35 36 38 43 44 45 47 51 57 61 63 ;-356.500000;100.000000;0
9;0.250000;0.250000;50;50;2 6 9 12 14 15 19 22 27 28 32 34 39 40 41 43 45 49 54 57 58 ;-360.000000;100.000000;0
10;0.250000;0.250000;50;50;1 5 6 8 9 12 13 14 15 16 17 22 23 34 35 36 49 50 62 64 ;-357.799988;100.000000;0
11;0.250000;0.250000;50;50;8 10 11 12 15 20 27 28 33 35 37 38 40 42 46 56 61 ;-347.090912;100.000000;0
12;0.250000;0.250000;50;50;1 6 7 11 12 16 17 22 23 25 27 31 37 43 44 51 52 57 59 62 64 ;-349.833344;100.000000;0
13;0.250000;0.250000;50;50;3 10 11 17 18 21 27 31 35 37 38 39 43 44 48 50 56 59 64 ;-346.461548;100.000000;0
14;0.250000;0.250000;50;50;4 9 12 15 18 19 23 28 30 34 36 37 43 45 50 53 57 59 64 ;-344.571442;100.000000;0
15;0.250000;0.250000;50;50;1 3 4 9 11 18 19 22 23 27 28 29 31 33 34 37 40 49 63 ;-341.866669;100.000000;0
16;0.250000;0.250000;50;50;4 5 8 11 12 17 25 27 29 30 32 33 36 37 45 49 52 56 57 61 64 ;-343.750000;100.000000;0
17;0.250000;0.250000;50;50;1 5 16 18 25 26 27 29 33 36 37 40 43 44 46 57 58 59 60 62 64 ;-345.411774;100.000000;0
18;0.250000;0.250000;50;50;7 9 10 12 14 21 22 26 30 32 34 35 42 45 46 48 59 61 64 ;-343.222229;100.000000;0
19;0.250000;0.250000;50;50;3 4 5 7 14 16 17 22 24 28 29 30 34 38 39 48 51 58 59 ;-341.894745;100.000000;0
20;0.250000;0.250000;50;50;1 2 5 11 14 22 26 27 28 30 33 35 36 39 40 45 50 58 59 60 ;-341.799988;100.000000;0
21;0.250000;0.250000;50;50;4 10 11 13 14 19 21 25 39 40 43 46 48 57 60 61 63 ;-337.523804;100.000000;0
22;0.250000;0.250000;50;50;5 8 12 14 15 16 29 30 31 32 34 38 42 47 51 52 54 56 60 ;-336.000000;100.000000;0
23;0.250000;0.250000;50;50;5 12 13 14 22 24 27 28 35 39 42 43 44 46 48 50 53 54 55 61 ;-336.173920;100.000000;0
24;0.250000;0.250000;50;50;3 8 9 13 15 17 20 28 32 34 35 36 38 41 43 49 51 61 63 ;-335.166656;100.000000;0
25;0.250000;0.250000;50;50;13 14 16 18 21 22 23 24 29 30 37 40 45 47 49 50 52 53 64 ;-333.760010;100.000000;0
26;0.250000;0.250000;50;50;1 3 4 7 9 11 14 18 21 23 26 29 30 32 41 42 45 48 54 61 ;-334.076935;100.000000;0
27;0.250000;0.250000;50;50;1 2 8 10 13 15 16 24 26 30 31 33 35 42 44 45 48 52 54 57 59 ;-336.000000;100.000000;0
28;0.250000;0.250000;50;50;2 5 6 7 8 11 17 19 22 23 24 26 29 31 38 40 46 53 54 58 61 63 ;-338.642853;100.000000;0
29;0.250000;0.250000;50;50;3 5 6 22 26 27 28 32 33 35 36 42 44 50 51 55 58 ;-335.310333;100.000000;0
30;0.250000;0.250000;50;50;1 2 6 10 12 13 15 23 26 27 30 31 35 45 46 47 53 56 59 61 63 ;-336.733337;100.000000;0
31;0.250000;0.250000;50;50;2 11 13 16 18 20 22 26 30 33 35 37 40 43 48 52 53 57 59 60 ;-336.967743;100.000000;0
32;0.250000;0.250000;50;50;3 4 7 8 12 14 16 19 20 21 22 23 25 27 29 32 42 43 46 48 62 63 ;-339.312500;100.000000;0
33;0.250000;0.250000;50;50;4 13 17 18 20 23 26 31 33 36 38 39 52 53 57 58 60 ;-336.545441;100.000000;0
34;0.250000;0.250000;50;50;5 6 8 11 12 15 16 19 25 26 32 34 38 53 54 56 64 ;-333.705872;100.000000;0
35;0.250000;0.250000;50;50;4 6 14 20 22 23 25 26 27 30 31 32 35 37 38 40 46 54 56 64 ;-333.714294;100.000000;0
36;0.250000;0.250000;50;50;1 4 5 9 14 16 17 20 26 28 30 35 37 38 50 51 54 55 59 63 ;-334.000000;100.000000;0
37;0.250000;0.250000;50;50;1 5 6 7 20 22 23 32 36 37 40 42 43 47 51 52 57 58 61 62 ;-334.378387;100.000000;0
38;0.250000;0.250000;50;50;3 8 11 20 21 23 24 27 30 33 34 36 37 38 44 52 53 57 59 61 ;-334.526306;100.000000;0
39;0.250000;0.250000;50;50;3 4 5 6 11 12 13 14 15 16 19 25 35 38 40 42 44 48 49 59 ;-334.564117;100.000000;0
40;0.250000;0.250000;50;50;3 4 6 9 11 17 24 26 31 33 35 36 38 42 44 46 48 51 52 56 60 62 ;-336.649994;100.000000;0
41;0.250000;0.250000;50;50;2 4 5 7 8 11 15 18 23 29 30 36 39 40 41 43 48 57 60 64 ;-336.731720;100.000000;0
42;0.250000;0.250000;50;50;5 6 9 11 14 15 17 24 30 35 36 37 54 56 58 60 62 63 ;-335.380951;100.000000;0
43;0.250000;0.250000;50;50;5 10 12 17 19 23 24 25 26 30 36 40 46 49 50 58 61 62 63 ;-334.697662;100.000000;0
44;0.250000;0.250000;50;50;7 8 9 11 16 17 19 29 32 33 38 39 40 41 42 49 55 62 63 ;-334.136353;100.000000;0
45;0.250000;0.250000;50;50;5 6 8 12 14 16 17 19 24 27 30 35 37 40 46 48 49 53 59 ;-333.422211;100.000000;0
46;0.250000;0.250000;50;50;6 11 15 20 32 35 37 38 39 40 41 43 47 49 50 51 55 63 64 ;-332.652161;100.000000;0
47;0.250000;0.250000;50;50;1 2 5 8 10 13 15 16 23 25 29 30 31 41 45 50 56 58 61 62 ;-332.765961;100.000000;0
48;0.250000;0.250000;50;50;14 18 22 23 25 29 33 34 36 38 40 43 49 50 52 53 56 59 62 63 ;-333.000000;100.000000;0
49;0.250000;0.250000;50;50;1 2 7 10 13 14 17 18 23 25 26 30 37 38 39 40 42 45 56 58 62 63 ;-334.530609;100.000000;0
50;0.250000;0.250000;50;50;2 4 5 7 12 13 15 19 23 24 27 32 36 38 45 56 57 61 ;-333.320007;100.000000;0
51;0.250000;0.250000;50;50;1 3 5 6 9 13 14 15 19 20 29 32 36 37 42 46 47 52 62 63 ;-333.450989;100.000000;0
52;0.250000;0.250000;50;50;5 7 10 14 15 25 28 30 31 40 41 43 45 46 56 57 59 62 63 ;-332.923065;100.000000;0
53;0.250000;0.250000;50;50;6 7 11 15 16 18 22 25 27 28 31 32 34 41 49 62 63 ;-331.245270;100.000000;0
54;0.250000;0.250000;50;50;2 4 9 13 15 17 23 30 31 35 36 39 41 45 49 55 58 60 61 62 ;-331.444458;100.000000;0
55;0.250000;0.250000;50;50;3 7 9 16 20 24 25 26 31 32 38 44 45 46 47 50 54 58 61 62 ;-331.636353;100.000000;0
56;0.250000;0.250000;50;50;11 17 18 19 21 23 24 31 32 37 38 39 40 41 43 51 52 53 56 60 ;-331.678558;100.000000;0
57;0.250000;0.250000;50;50;3 4 11 12 14 16 19 28 29 31 35 36 37 40 41 48 54 57 58 59 ;-331.894745;100.000000;0
58;0.250000;0.250000;50;50;1 6 10 11 13 15 16 19 21 27 33 35 48 49 61 64 ;-329.965515;100.000000;0
59;0.250000;0.250000;50;50;1 3 5 10 11 14 15 19 23 26 30 32 35 36 37 40 50 52 54 59 62 ;-330.813568;100.000000;0
60;0.250000;0.250000;50;50;1 2 5 9 10 17 18 20 24 26 27 30 33 43 44 46 49 57 58 62 ;-330.866669;100.000000;0
61;0.250000;0.250000;50;50;4 5 13 14 17 18 20 31 36 39 40 42 44 46 47 48 51 53 57 59 61 62 63 ;-332.852448;100.000000;0
62;0.250000;0.250000;50;50;1 13 14 15 17 18 21 27 32 33 36 42 54 55 57 59 61 64 ;-332.096771;100.000000;0
63;0.250000;0.250000;50;50;1 2 4 6 9 10 12 14 15 19 27 30 31 44 47 50 52 55 63 64 ;-332.190491;100.000000;0
64;0.250000;0.250000;50;50;3 10 17 19 21 24 29 31 32 38 39 40 41 50 51 56 60 63 ;-331.375000;100.000000;0
65;0.250000;0.250000;50;50;12 16 19 26 27 28 29 34 36 38 43 48 49 53 55 59 62 63 64 ;-331.015381;100.000000;0
66;0.250000;0.250000;50;50;2 14 17 24 29 30 32 33 34 36 38 43 45 47 50 51 55 56 62 64 ;-331.212128;100.000000;0
67;0.250000;0.250000;50;50;1 6 7 12 13 15 18 19 20 25 27 33 35 38 39 40 43 48 55 64 ;-331.432831;100.000000;0
68;0.250000;0.250000;50;50;1 8 11 15 18 19 20 25 27 35 38 47 49 53 54 57 60 62 64 ;-331.147064;100.000000;0
69;0.250000;0.250000;50;50;2 5 6 7 8 14 15 24 28 29 36 38 39 42 45 46 53 59 60 63 ;-331.362305;100.000000;0
70;0.250000;0.250000;50;50;2 3 6 9 11 15 16 21 25 27 29 33 37 39 42 48 52 56 ;-330.600006;100.000000;0
71;0.250000;0.250000;50;50;1 3 4 6 9 11 12 13 15 20 21 22 28 29 36 38 46 48 50 52 55 ;-331.183105;100.000000;0
72;0.250000;0.250000;50;50;3 15 16 20 29 31 32 33 35 36 38 40 48 52 53 54 55 56 61 62 63 ;-331.638885;100.000000;0
73;0.250000;0.250000;50;50;3 4 5 12 13 15 18 25 33 37 38 39 41 42 45 47 52 56 57 59 ;-331.753418;100.000000;0
74;0.250000;0.250000;50;50;4 5 6 10 11 13 17 19 22 25 28 31 36 37 39 42 43 46 54 59 61 ;-332.594604;100.000000;0
75;0.250000;0.250000;50;50;4 9 11 12 21 22 23 33 34 35 45 47 50 52 53 54 55 58 62 ;-332.213348;100.000000;0
76;0.250000;0.250000;50;50;3 6 7 17 19 21 27 29 33 34 35 36 38 42 43 46 48 50 51 56 57 58 ;-333.289459;100.000000;0
77;0.250000;0.250000;50;50;1 2 3 8 9 13 16 20 23 29 36 39 40 41 46 47 53 57 59 63 ;-333.506500;100.000000;0
78;0.250000;0.250000;50;50;2 4 15 17 20 22 26 27 28 35 36 42 47 48 49 50 51 54 59 60 ;-333.615387;100.000000;0
79;0.250000;0.250000;50;50;1 2 11 17 22 23 28 29 31 33 36 37 44 45 46 47 49 50 53 64 ;-333.822784;100.000000;0
80;0.250000;0.250000;50;50;8 13 18 29 34 35 36 39 42 43 44 45 47 50 52 55 57 60 64 ;-333.399994;100.000000;0
81;0.250000;0.250000;50;50;1 5 8 9 15 17 20 21 24 27 29 30 36 40 44 49 52 53 55 56 63 64 ;-334.370361;100.000000;0
82;0.250000;0.250000;50;50;4 8 9 10 15 22 24 25 26 32 34 36 38 41 42 43 51 55 56 58 59 60 ;-335.317078;100.000000;0
83;0.250000;0.250000;50;50;1 2 3 6 10 12 17 19 24 25 27 33 40 46 59 60 62 ;-334.192780;100.000000;0
