Trepa-Colinas;;;;
Iteracao;Solucao;MBF;Custo;Best
0;2 5 11 12 13 14 15 24 30 35 37 38 39 41 42 44 45 48 49 54 56 58 59 ;#NOME?;-464;0
1;8 15 17 18 19 25 27 28 32 33 34 35 42 43 53 54 55 57 59 60 61 62 63 ;-918.000000;-454;0
2;3 8 10 13 16 24 27 28 30 31 33 35 36 38 39 46 47 49 50 51 53 54 64 ;-694.000000;-470;0
3;8 9 16 17 18 19 23 29 31 32 33 36 38 45 47 53 56 57 59 62 64 ;-594.000000;-394;0
4;7 13 19 23 24 25 27 32 37 40 48 50 51 58 59 61 62 ;-507.000000;-246;0
5;1 3 4 6 13 15 19 24 25 29 31 32 37 40 45 48 52 54 56 63 64 ;-480.799988;-376;0
6;4 5 6 7 12 14 16 21 23 26 27 29 31 33 35 41 43 45 49 50 54 56 57 58 59 60 ;-498.333344;-586;0
7;2 3 4 5 6 11 15 17 18 23 27 31 34 36 39 41 43 44 47 48 52 61 64 ;-492.000000;-454;0
8;3 5 12 13 15 19 20 21 22 23 26 33 38 40 44 46 47 51 52 53 58 59 60 61 64 ;-499.500000;-552;0
9;3 8 10 13 14 16 17 18 20 23 24 27 28 33 39 40 51 52 55 56 57 60 63 64 ;-499.111115;-496;0
10;3 4 5 8 16 17 18 20 21 23 29 30 35 37 44 53 55 57 60 61 64 ;-486.799988;-376;0
11;3 8 9 10 11 12 17 19 20 21 24 29 34 35 36 37 38 47 49 51 52 58 60 61 62 63 64 ;-500.181824;-634;0
12;4 5 13 14 16 18 21 27 28 29 34 38 42 53 56 58 61 ;-479.000000;-246;0
13;4 8 12 15 16 22 24 25 27 34 36 37 38 39 47 49 52 54 56 61 63 ;-470.923065;-374;0
14;5 9 10 11 12 13 14 15 19 20 23 27 28 29 30 34 40 44 45 54 56 57 59 60 ;-472.571442;-494;0
15;3 5 9 13 17 22 26 30 31 33 36 40 42 46 48 52 53 55 60 64 ;-464.666656;-354;0
16;3 4 10 15 24 27 28 30 31 36 39 43 44 47 53 56 58 59 ;-453.125000;-280;0
17;2 3 7 11 14 15 16 17 20 22 28 31 34 36 38 39 42 48 50 51 52 57 59 62 ;-456.470581;-510;0
18;8 13 14 17 25 27 28 29 30 36 41 44 49 53 54 55 62 63 64 ;-448.111115;-306;0
19;3 4 5 7 8 10 22 24 27 29 30 34 35 46 47 48 50 54 57 58 59 62 ;-446.421051;-416;0
20;2 3 8 10 11 13 14 16 17 20 21 23 27 30 37 40 45 47 50 56 59 60 62 ;-447.600006;-470;0
21;1 2 3 12 15 18 19 21 22 23 27 28 29 32 33 36 48 50 53 54 55 57 58 60 61 64 ;-454.285706;-588;0
22;6 10 11 16 17 19 23 25 26 29 31 33 39 43 44 46 47 50 51 52 53 54 57 58 61 ;-458.727264;-552;0
23;1 3 5 6 7 12 13 15 22 23 24 25 26 27 30 32 33 38 41 42 45 49 50 52 53 55 56 58 62 63 64 ;-475.478271;-844;0
24;2 7 9 12 14 15 16 17 21 25 28 32 34 38 39 41 43 45 47 50 52 54 55 59 60 ;-478.250000;-542;0
25;1 2 5 6 7 14 15 17 18 19 21 22 24 26 27 29 30 31 39 42 43 47 53 54 55 56 57 59 63 ;-487.920013;-720;0
26;4 6 8 9 15 16 17 18 20 22 25 30 40 41 43 46 50 51 52 53 54 56 59 61 64 ;-490.000000;-542;0
27;1 4 6 7 8 11 16 18 20 25 28 29 31 38 42 43 46 48 49 52 53 56 57 62 63 ;-492.444458;-556;0
28;1 3 4 8 12 13 15 17 19 20 25 28 30 32 36 38 46 47 49 50 59 60 ;-489.785706;-418;0
29;3 4 5 6 7 8 10 12 13 14 17 25 27 32 34 37 40 42 45 47 48 49 53 55 56 62 ;-493.241394;-590;0
30;2 4 6 11 13 16 17 21 28 29 31 33 35 37 41 42 44 45 47 49 50 52 61 64 ;-493.799988;-510;0
31;4 8 9 13 17 18 20 21 24 26 27 28 29 31 32 35 36 37 44 45 49 51 53 54 57 58 60 62 ;-499.741943;-678;0
32;1 7 11 17 21 24 28 32 33 35 36 39 43 45 47 48 49 50 52 56 57 58 ;-497.000000;-412;0
33;2 5 6 9 12 14 18 20 24 27 29 31 33 37 42 43 44 45 47 48 50 57 60 ;-496.060608;-466;0
34;3 8 17 18 19 20 21 25 26 37 38 42 44 45 46 50 53 54 57 58 60 63 64 ;-494.588226;-446;0
35;1 2 3 7 8 9 13 20 21 26 27 28 29 30 38 40 48 49 51 52 53 56 57 60 ;-494.742859;-500;0
36;2 7 11 12 13 16 21 23 28 34 35 38 39 40 41 44 46 52 54 55 59 60 61 ;-493.944458;-466;0
37;1 5 6 10 17 23 24 26 32 33 34 37 38 44 45 47 49 51 54 58 59 62 63 ;-492.918915;-456;0
38;1 2 5 6 7 10 12 13 17 18 20 26 30 31 32 33 35 37 40 41 44 46 51 52 55 58 59 63 64 ;-499.526306;-744;0
39;4 9 12 14 18 20 24 27 28 37 38 40 41 42 44 48 49 50 54 55 57 58 64 ;-498.410248;-456;0
40;1 4 5 6 9 11 12 13 16 18 25 31 32 39 42 45 47 49 50 57 58 61 63 ;-497.250000;-452;0
41;2 3 5 6 8 12 14 15 22 23 30 32 34 37 39 42 43 46 48 53 54 58 60 ;-496.487793;-466;0
42;1 3 4 5 6 13 14 17 27 29 30 31 33 37 39 40 42 47 50 51 55 57 58 59 62 63 ;-498.571442;-584;0
43;1 6 7 9 10 13 14 19 21 23 24 25 34 35 36 41 42 47 48 55 56 58 62 63 ;-498.651154;-502;0
44;6 8 9 10 16 17 19 21 22 24 27 28 31 32 38 42 44 45 46 48 52 53 57 ;-497.636353;-454;0
45;3 5 7 8 13 15 16 21 31 32 36 41 44 48 52 55 58 59 60 61 ;-494.133331;-340;0
46;2 3 9 10 11 12 13 14 19 20 22 25 28 30 32 36 38 42 47 53 55 57 ;-492.521729;-420;0
47;1 2 5 8 10 11 15 17 19 21 25 26 35 38 40 43 51 61 62 ;-488.553192;-306;0
48;1 4 5 8 9 10 13 14 15 22 23 32 35 47 50 51 52 55 58 64 ;-485.583344;-346;0
49;1 4 5 7 8 11 16 17 19 22 23 25 27 29 30 31 32 36 41 48 50 52 56 59 60 64 ;-487.551025;-582;0
50;1 2 4 7 8 17 23 27 28 30 33 39 44 49 50 56 57 58 59 61 63 64 ;-486.160004;-418;0
51;4 14 19 21 22 24 27 33 36 42 44 45 50 52 55 59 64 ;-481.607849;-254;0
52;1 6 9 10 13 14 16 18 19 28 35 36 37 38 39 40 41 42 45 47 48 50 51 52 55 58 59 61 62 ;-486.423065;-732;0
53;3 5 6 8 10 12 15 20 21 23 25 30 32 34 40 53 57 59 ;-482.641510;-286;0
54;3 6 14 19 21 22 28 29 32 33 34 40 46 47 53 60 ;-477.777771;-220;0
55;2 3 7 8 11 16 18 19 26 29 30 32 36 38 43 49 51 52 55 57 58 59 62 ;-477.381805;-456;0
56;1 6 7 10 12 17 21 24 25 26 32 33 38 40 49 50 59 60 64 ;-474.392853;-310;0
57;3 5 6 7 15 20 23 27 28 41 42 44 48 49 51 52 53 56 57 59 61 64 ;-473.333344;-414;0
58;4 5 7 8 11 12 21 24 25 26 28 30 31 33 40 45 47 49 51 52 57 64 ;-472.517242;-426;0
59;1 3 7 8 10 16 17 19 20 25 29 30 31 35 37 39 43 45 46 47 52 53 57 62 63 ;-473.694916;-542;0
60;2 3 6 14 15 16 18 20 21 22 24 26 28 30 32 33 36 40 42 45 48 55 57 60 ;-474.166656;-502;0
61;2 5 9 10 21 22 24 27 31 37 38 39 40 41 47 50 51 52 54 55 63 64 ;-473.180328;-414;0
62;1 3 5 6 7 8 9 16 17 20 22 26 28 29 30 31 34 38 44 46 47 48 50 56 57 61 64 ;-475.935486;-644;0
63;2 3 9 13 15 17 18 21 23 25 30 32 34 36 42 45 46 47 52 56 ;-473.809509;-342;0
64;3 6 10 12 13 14 19 23 25 27 28 32 34 36 47 48 51 52 53 55 56 57 59 63 64 ;-474.781250;-536;0
65;2 8 11 12 13 16 18 19 27 30 33 34 36 38 40 42 47 48 49 50 51 53 59 ;-474.461548;-454;0
66;1 2 3 7 8 10 14 16 17 18 21 27 30 31 37 39 40 41 42 45 49 54 56 59 64 ;-475.545441;-546;0
67;3 5 9 12 13 14 16 17 18 20 25 29 30 31 33 40 43 44 46 47 48 50 53 54 56 61 62 63 64 ;-479.343292;-730;0
68;5 6 8 12 15 16 17 21 23 24 29 30 31 34 35 37 39 43 45 50 54 55 59 62 64 ;-480.294128;-544;0
