Instancias\Testes\Hibrido Instancia-Ins1-Pr0.010000-Pm0.010000-Ger50-Pop50-Iter10;;;;;;;;
Iteracao;Probbilidade de mutacao;Probabilidade de crossover;Tamanho da populacao;Maximo Geracoes;Solucao;MBF;Percentagem de Invalidos;Melhor
0;0.010000;0.010000;50;50;3 4 22 24 28 ;#NOME?;100.000000;0
1;0.010000;0.010000;50;50;1 11 16 18 22 25 28 ;-28.000000;100.000000;0
2;0.010000;0.010000;50;50;1 2 5 16 25 26 ;-23.000000;100.000000;0
3;0.010000;0.010000;50;50;4 9 18 19 20 21 27 ;-22.666666;100.000000;0
4;0.010000;0.010000;50;50;2 3 5 12 14 15 22 27 ;-24.500000;100.000000;0
5;0.010000;0.010000;50;50;3 8 9 15 17 20 25 ;-23.600000;100.000000;0
6;0.010000;0.010000;50;50;2 5 6 9 18 24 ;-21.000000;100.000000;0
7;0.010000;0.010000;50;50;4 8 10 16 19 21 22 26 ;-22.285715;100.000000;0
8;0.010000;0.010000;50;50;1 4 5 11 12 20 26 ;-22.500000;100.000000;0
9;0.010000;0.010000;50;50;1 2 8 9 13 14 15 17 ;-23.333334;100.000000;0
6;0.010000;0.010000;50;50;2 5 6 9 18 24 ;-21.000000;100.000000;0
