Trepa-Colinas;;;;
Iteracao;Solucao;MBF;Custo;Best
0;2 5 11 12 13 14 15 24 30 35 37 38 39 41 42 44 45 48 49 54 56 58 59 ;#NOME?;-464;0
1;8 15 17 18 19 25 27 28 32 33 34 35 42 43 53 54 55 57 59 60 61 62 63 ;-918.000000;-454;0
2;3 8 10 13 16 24 27 28 30 31 33 35 36 38 39 46 47 49 50 51 53 54 64 ;-694.000000;-470;0
3;8 9 16 17 18 19 23 29 31 32 33 36 38 45 47 53 56 57 59 62 64 ;-594.000000;-394;0
4;7 13 19 23 24 25 27 32 37 40 48 50 51 58 59 61 62 ;-507.000000;-246;0
5;1 3 4 6 13 15 19 24 25 29 31 32 37 40 45 48 52 54 56 63 64 ;-480.799988;-376;0
6;4 5 6 7 12 14 16 21 23 26 27 29 31 33 35 41 43 45 49 50 54 56 57 58 59 60 ;-498.333344;-586;0
7;2 3 4 5 6 11 15 17 18 23 27 31 34 36 39 41 43 44 47 48 52 61 64 ;-492.000000;-454;0
8;3 5 12 13 15 19 20 21 22 23 26 33 38 40 44 46 47 51 52 53 58 59 60 61 64 ;-499.500000;-552;0
9;3 8 10 13 14 16 17 18 20 23 24 27 28 33 39 40 51 52 55 56 57 60 63 64 ;-499.111115;-496;0
4;7 13 19 23 24 25 27 32 37 40 48 50 51 58 59 61 62 ;-449.200012;-246;1
