Instancias\Testes\Evolutivo Instancia-Ins1-Pr0.010000-Pm0.010000-Ger250-Pop250-Iter100;;;;;;;;
Iteracao;Probbilidade de mutacao;Probabilidade de crossover;Tamanho da populacao;Maximo Geracoes;Solucao;MBF;Percentagem de Invalidos;Melhor
0;0.010000;0.010000;250;250;6 9 14 18 19 21 ;#NOME?;100.000000;0
1;0.010000;0.010000;250;250;2 3 9 14 23 ;-22.000000;100.000000;0
2;0.010000;0.010000;250;250;5 10 14 15 19 23 ;-17.000000;100.000000;0
3;0.010000;0.010000;250;250;1 2 12 16 20 22 ;-16.000000;100.000000;0
4;0.010000;0.010000;250;250;2 8 13 15 26 ;-14.500000;100.000000;0
5;0.010000;0.010000;250;250;9 13 18 26 ;-12.400000;100.000000;0
6;0.010000;0.010000;250;250;14 22 23 24 25 28 ;-11.666667;100.000000;0
7;0.010000;0.010000;250;250;3 7 9 10 16 ;-11.428572;100.000000;0
8;0.010000;0.010000;250;250;9 15 18 19 20 ;-10.750000;100.000000;0
9;0.010000;0.010000;250;250;2 9 22 23 24 25 ;-10.666667;100.000000;0
10;0.010000;0.010000;250;250;2 12 22 23 24 27 ;-10.600000;100.000000;0
11;0.010000;0.010000;250;250;6 9 10 23 25 26 ;-10.545455;100.000000;0
12;0.010000;0.010000;250;250;1 8 13 20 ;-10.333333;100.000000;0
13;0.010000;0.010000;250;250;2 13 19 27 ;-10.153846;100.000000;0
14;0.010000;0.010000;250;250;2 9 12 20 ;-10.000000;100.000000;0
15;0.010000;0.010000;250;250;4 7 11 14 ;-9.466666;100.000000;0
16;0.010000;0.010000;250;250;9 17 20 21 ;-9.125000;100.000000;0
17;0.010000;0.010000;250;250;15 20 22 25 26 28 ;-9.176471;100.000000;0
18;0.010000;0.010000;250;250;5 6 9 10 23 ;-9.111111;100.000000;0
19;0.010000;0.010000;250;250;7 11 16 21 28 ;-8.947369;100.000000;0
20;0.010000;0.010000;250;250;9 12 18 19 21 ;-9.000000;100.000000;0
21;0.010000;0.010000;250;250;1 3 4 11 23 ;-8.952381;100.000000;0
22;0.010000;0.010000;250;250;6 10 19 27 ;-8.818182;100.000000;0
23;0.010000;0.010000;250;250;2 7 9 18 24 28 ;-8.869565;100.000000;0
24;0.010000;0.010000;250;250;7 9 10 14 15 20 26 ;-8.833333;100.000000;0
25;0.010000;0.010000;250;250;4 10 13 14 25 ;-8.720000;100.000000;0
26;0.010000;0.010000;250;250;2 9 11 18 23 24 ;-8.923077;100.000000;0
27;0.010000;0.010000;250;250;2 4 7 18 ;-8.740741;100.000000;0
28;0.010000;0.010000;250;250;5 13 15 22 25 ;-8.928572;100.000000;0
29;0.010000;0.010000;250;250;6 10 11 24 27 ;-9.034483;100.000000;0
30;0.010000;0.010000;250;250;13 16 19 21 ;-8.866667;100.000000;0
31;0.010000;0.010000;250;250;2 6 9 15 16 21 ;-9.096774;100.000000;0
32;0.010000;0.010000;250;250;4 8 11 12 ;-9.000000;100.000000;0
33;0.010000;0.010000;250;250;2 11 18 ;-8.787879;100.000000;0
34;0.010000;0.010000;250;250;9 11 15 23 26 ;-8.823529;100.000000;0
35;0.010000;0.010000;250;250;11 12 26 27 28 ;-8.800000;100.000000;0
36;0.010000;0.010000;250;250;2 18 19 20 27 28 ;-8.944445;100.000000;0
37;0.010000;0.010000;250;250;1 4 12 16 25 ;-8.972973;100.000000;0
38;0.010000;0.010000;250;250;4 20 21 ;-8.842105;100.000000;0
39;0.010000;0.010000;250;250;9 11 15 18 21 ;-8.820513;100.000000;0
40;0.010000;0.010000;250;250;9 12 20 24 25 26 ;-9.000000;100.000000;0
41;0.010000;0.010000;250;250;1 4 16 17 19 20 ;-8.975610;100.000000;0
42;0.010000;0.010000;250;250;6 10 19 20 26 ;-8.904762;100.000000;0
43;0.010000;0.010000;250;250;5 25 26 28 ;-8.790698;100.000000;0
44;0.010000;0.010000;250;250;5 10 12 27 28 ;-8.863636;100.000000;0
45;0.010000;0.010000;250;250;4 6 16 17 18 19 ;-8.844444;100.000000;0
46;0.010000;0.010000;250;250;3 13 14 19 24 ;-8.869565;100.000000;0
47;0.010000;0.010000;250;250;4 5 12 16 28 ;-8.936171;100.000000;0
48;0.010000;0.010000;250;250;4 5 8 18 19 25 ;-9.041667;100.000000;0
49;0.010000;0.010000;250;250;1 2 5 12 27 ;-9.061225;100.000000;0
50;0.010000;0.010000;250;250;2 3 13 18 19 25 ;-9.160000;100.000000;0
51;0.010000;0.010000;250;250;10 13 14 20 26 27 ;-9.254902;100.000000;0
52;0.010000;0.010000;250;250;14 25 27 28 ;-9.115385;100.000000;0
53;0.010000;0.010000;250;250;13 17 19 25 ;-9.094339;100.000000;0
54;0.010000;0.010000;250;250;1 3 9 18 20 26 ;-9.185185;100.000000;0
55;0.010000;0.010000;250;250;2 21 25 27 ;-9.163636;100.000000;0
