Trepa-Colinas;;;;
Iteracao;Solucao;MBF;Custo;Best
0;1 2 13 14 15 21 24 ;#NOME?;-22;0
1;1 3 8 9 10 14 26 ;-42.000000;-20;0
2;5 11 20 21 22 27 ;-30.000000;-18;0
3;1 2 11 14 18 24 27 ;-27.333334;-22;0
4;2 6 7 9 14 25 28 ;-26.500000;-24;0
5;6 7 10 14 20 21 28 ;-25.600000;-22;0
6;2 9 11 18 20 21 23 ;-25.333334;-24;0
7;2 4 7 12 15 24 25 ;-25.428572;-26;0
8;2 10 16 19 25 26 28 ;-24.750000;-20;0
9;3 7 12 13 19 20 ;-24.222221;-20;0
10;4 7 9 11 19 ;-22.799999;-10;0
11;7 9 11 19 25 26 ;-22.363636;-18;0
12;1 5 16 17 21 26 27 28 ;-22.833334;-28;0
13;5 8 11 12 16 20 25 ;-23.076923;-26;0
14;2 3 4 5 8 9 14 17 19 21 ;-24.857143;-48;0
15;3 4 12 19 22 23 27 ;-24.799999;-24;0
16;5 6 9 12 14 ;-23.750000;-8;0
17;4 5 7 13 14 27 28 ;-23.882353;-26;0
18;11 13 19 21 28 ;-23.000000;-8;0
19;2 3 5 6 10 12 15 17 20 21 22 25 ;-26.000000;-80;0
20;1 2 5 10 15 16 21 26 27 28 ;-27.500000;-56;0
21;4 11 13 22 28 ;-26.666666;-10;0
22;1 7 10 25 28 ;-26.000000;-12;0
23;3 12 24 25 28 ;-25.304348;-10;0
24;1 8 9 13 14 19 ;-25.083334;-20;0
25;3 6 10 16 21 ;-24.639999;-14;0
26;2 5 15 23 25 27 ;-24.384615;-18;0
27;2 6 7 9 12 14 17 19 22 27 28 ;-26.074074;-70;0
28;1 3 13 26 28 ;-25.642857;-14;0
29;5 10 21 26 27 ;-25.172413;-12;0
30;4 5 8 14 15 18 19 26 28 ;-25.733334;-42;0
31;2 6 8 12 ;-25.161291;-8;0
32;1 3 4 10 17 21 25 ;-25.187500;-26;0
33;7 9 10 23 24 27 ;-24.909090;-16;0
34;8 10 15 22 26 ;-24.352942;-6;0
35;2 3 8 11 13 16 17 20 21 24 ;-24.971428;-46;0
36;1 12 14 23 24 25 ;-24.666666;-14;0
37;3 6 7 10 11 15 16 ;-24.648649;-24;0
38;1 4 9 11 17 19 23 ;-24.684210;-26;0
39;1 5 19 20 22 27 ;-24.564102;-20;0
40;1 4 9 13 14 17 21 25 ;-24.850000;-36;0
41;2 9 10 11 14 16 17 18 19 28 ;-25.414635;-48;0
42;2 3 7 14 15 21 ;-25.238094;-18;0
43;1 18 19 20 24 25 ;-25.069767;-18;0
44;5 6 7 10 12 14 17 18 ;-25.181818;-30;0
45;6 8 15 20 21 23 28 ;-25.155556;-24;0
46;1 4 6 11 16 17 ;-24.869566;-12;0
47;6 10 12 16 18 19 20 23 ;-25.021276;-32;0
48;6 12 15 16 17 21 ;-24.833334;-16;0
49;1 2 6 8 12 15 19 20 21 24 25 ;-25.755102;-70;0
50;2 4 11 12 18 22 25 27 ;-25.799999;-28;0
51;1 5 8 10 15 18 20 22 25 ;-26.117647;-42;0
52;5 7 17 23 28 ;-25.807692;-10;0
53;5 9 20 25 28 ;-25.547171;-12;0
54;7 19 20 24 25 27 ;-25.407408;-18;0
55;1 3 8 9 22 24 25 27 ;-25.454546;-28;0
56;11 17 18 24 28 ;-25.178572;-10;0
57;2 4 8 9 14 15 17 18 19 21 27 ;-25.859650;-64;0
58;2 4 6 8 17 21 25 ;-25.896551;-28;0
59;2 7 8 16 19 27 ;-25.796610;-20;0
60;9 16 18 20 21 23 27 ;-25.733334;-22;0
61;2 3 13 14 18 19 21 25 28 ;-25.868853;-34;0
62;10 16 17 21 ;-25.548388;-6;0
63;1 4 13 23 28 ;-25.365080;-14;0
64;6 7 8 11 12 21 25 26 ;-25.531250;-36;0
65;5 14 25 26 ;-25.200001;-4;0
66;3 5 11 14 18 19 20 28 ;-25.303030;-32;0
67;2 6 7 8 12 13 22 ;-25.283583;-24;0
68;8 9 12 17 21 ;-25.029411;-8;0
69;1 2 4 6 8 9 10 12 14 21 24 27 28 ;-26.028986;-94;0
70;5 6 7 11 13 25 ;-25.914286;-18;0
71;1 2 17 20 25 26 ;-25.830986;-20;0
72;2 10 11 25 27 ;-25.638889;-12;0
73;7 13 18 27 ;-25.397261;-8;0
74;3 5 13 14 15 16 17 25 ;-25.513514;-34;0
75;2 8 11 15 18 19 21 ;-25.493334;-24;0
76;1 12 19 27 ;-25.263159;-8;0
77;6 8 11 16 17 21 22 25 28 ;-25.480520;-42;0
78;1 5 9 12 18 23 25 ;-25.461538;-24;0
79;3 11 19 ;-25.215189;-6;0
80;1 2 7 12 22 24 ;-25.049999;-12;0
81;1 4 8 12 18 28 ;-24.987654;-20;0
82;2 4 5 6 10 13 14 23 ;-24.975609;-24;0
83;7 15 20 21 25 26 ;-24.819277;-12;0
84;4 5 8 10 15 18 22 ;-24.833334;-26;0
85;1 7 10 12 19 20 ;-24.729412;-16;0
