Trepa-Colinas;;;;
Iteracao;Solucao;MBF;Custo;Best
0;2 10 11 13 14 15 24 30 37 38 39 41 42 45 46 48 54 58 59 62 ;#NOME?;-332;0
1;1 3 7 12 13 14 15 16 23 25 29 30 33 34 36 40 41 42 44 45 58 60 62 64 ;-820.000000;-488;0
2;7 12 16 25 27 28 36 38 39 40 42 46 51 52 57 60 61 63 ;-546.000000;-272;0
3;2 4 7 9 10 13 14 15 18 21 24 26 28 29 37 43 47 48 49 51 53 54 56 61 62 ;-545.333313;-544;0
4;1 2 3 4 7 8 9 11 17 19 23 24 25 29 33 35 36 41 44 45 52 56 58 60 61 64 ;-552.000000;-572;0
5;5 6 9 10 12 14 17 18 20 22 24 26 28 32 33 34 37 41 50 54 55 56 59 60 ;-539.200012;-488;0
6;2 5 6 10 15 19 20 22 24 27 32 37 38 45 49 50 51 52 59 64 ;-505.333344;-336;0
7;1 2 3 4 5 7 10 12 13 24 30 31 37 38 39 40 41 43 45 50 53 54 60 ;-498.285706;-456;0
8;4 10 11 14 19 23 24 26 28 35 36 43 49 50 51 58 61 63 64 ;-474.500000;-308;0
9;4 9 14 20 21 22 23 26 28 31 43 47 48 51 52 55 56 ;-448.888885;-244;0
10;9 13 17 20 22 28 30 37 40 46 51 52 54 58 60 64 ;-426.000000;-220;0
11;1 3 5 7 10 13 14 17 18 26 33 36 37 38 39 40 41 42 43 44 47 50 56 57 58 ;-435.272736;-528;0
12;5 13 15 19 21 25 29 30 34 37 39 44 46 48 53 60 61 62 63 64 ;-426.666656;-332;0
13;1 3 5 14 15 16 18 19 24 29 30 31 32 35 41 44 46 47 57 59 62 63 64 ;-428.769226;-454;0
14;1 3 5 6 7 17 18 19 24 26 34 35 36 38 39 41 45 49 51 57 59 62 ;-427.428558;-410;0
15;1 5 9 10 12 13 17 18 21 22 28 29 34 35 36 38 40 41 46 55 56 57 58 60 ;-432.000000;-496;0
16;8 11 13 14 15 16 19 20 21 23 24 27 28 34 35 36 38 40 41 48 52 54 56 58 60 ;-438.250000;-532;0
17;1 2 3 4 7 8 10 11 12 14 15 18 19 20 23 24 26 27 31 32 36 39 40 47 48 51 52 55 58 60 62 ;-460.823517;-822;0
18;2 8 10 12 14 16 18 20 21 22 23 24 25 27 28 29 30 32 33 37 38 39 40 42 44 45 47 57 58 ;-475.555542;-726;0
19;2 3 4 5 6 8 9 13 14 15 17 23 25 27 30 31 33 34 41 42 46 48 49 51 53 57 59 ;-483.578949;-628;0
20;2 3 6 7 8 9 10 11 14 15 16 19 20 21 23 27 28 31 38 39 40 41 43 53 56 57 59 ;-490.399994;-620;0
21;1 3 9 10 11 12 16 18 22 27 33 34 35 39 40 43 44 45 46 47 48 50 55 62 ;-490.190491;-486;0
22;2 3 5 16 17 19 21 22 23 25 27 31 37 39 42 43 45 50 53 54 55 56 58 59 60 61 63 ;-496.454559;-628;0
23;3 4 6 9 13 14 18 19 20 24 25 28 29 30 31 32 37 41 42 44 46 48 50 51 52 53 55 56 58 60 63 ;-511.304352;-838;0
24;2 6 7 13 15 16 20 21 25 27 28 31 33 34 37 38 43 45 46 50 52 54 55 56 59 61 63 64 ;-518.500000;-684;0
25;1 7 10 16 17 18 19 21 23 24 25 26 28 29 32 33 34 36 41 42 48 50 51 54 55 58 60 64 ;-524.799988;-676;0
26;1 5 9 10 12 13 16 22 24 25 27 29 34 35 39 40 41 44 50 57 63 ;-519.307678;-382;0
27;1 2 5 6 7 8 16 17 23 24 25 26 31 33 37 39 51 53 55 57 60 61 ;-515.111084;-406;0
28;1 2 3 4 8 11 12 17 18 19 22 24 26 27 28 29 33 34 37 41 48 49 50 51 52 56 64 ;-518.928589;-622;0
29;1 2 3 5 9 11 13 14 17 22 24 25 36 37 38 40 42 44 45 48 53 57 60 ;-516.689636;-454;0
30;3 5 13 14 17 19 26 27 31 32 34 37 38 41 43 45 47 50 51 53 54 60 ;-513.400024;-418;0
31;5 11 13 15 17 18 23 24 27 29 35 39 41 43 47 48 50 51 52 56 ;-507.741943;-338;0
32;7 9 12 13 18 21 23 27 29 32 34 39 48 54 55 59 ;-498.812500;-222;0
33;2 5 6 7 8 9 10 11 17 21 23 25 26 30 33 35 37 42 46 53 56 ;-494.969696;-372;0
34;6 11 12 13 15 19 21 23 24 28 29 31 32 33 36 39 40 41 44 45 48 49 51 60 64 ;-496.176483;-536;0
35;2 4 10 17 18 20 24 25 28 29 31 32 36 39 43 45 50 52 55 56 59 62 63 ;-494.914276;-452;0
36;15 19 27 31 34 39 41 42 46 47 49 50 58 62 ;-485.444458;-154;0
37;2 5 7 8 9 14 16 17 19 20 21 25 28 29 32 36 38 39 42 43 44 48 59 61 63 ;-487.189178;-550;0
38;1 5 7 10 12 21 26 29 43 47 51 57 58 64 ;-478.684204;-164;0
39;7 15 16 21 24 26 28 30 33 41 42 43 44 45 46 47 49 50 51 52 55 56 57 58 61 ;-480.153839;-536;0
40;1 4 5 9 10 11 12 14 15 16 20 21 22 23 30 31 33 36 37 46 56 57 62 ;-479.450012;-452;0
41;1 2 3 4 5 6 7 8 9 13 15 16 19 20 23 28 30 31 33 36 41 42 45 48 49 51 59 64 ;-484.243896;-676;0
42;3 18 22 25 28 30 31 36 39 40 41 43 44 45 50 51 53 54 55 56 58 61 62 ;-483.571442;-456;0
43;1 2 7 8 17 21 25 27 33 34 35 36 38 39 44 45 46 58 62 ;-479.348846;-302;0
44;10 15 17 19 21 22 26 31 35 37 44 54 56 59 62 ;-472.863647;-194;0
45;1 8 9 11 13 17 26 27 31 34 36 44 45 49 50 53 59 60 63 ;-469.155548;-306;0
46;5 6 10 12 13 17 28 32 38 40 41 43 46 47 48 51 56 57 ;-464.956512;-276;0
47;1 10 17 19 21 22 24 27 29 38 39 40 42 44 45 46 51 54 58 59 61 62 63 ;-464.638306;-450;0
48;2 3 4 13 15 21 23 25 26 27 30 31 32 33 34 36 40 45 48 50 52 54 56 58 60 63 64 ;-468.083344;-630;0
49;10 16 19 24 28 29 35 36 38 41 45 46 51 52 53 54 55 61 64 ;-464.897949;-312;0
50;1 2 9 10 13 14 19 21 22 23 27 28 30 31 32 39 41 45 49 50 52 54 57 60 61 62 ;-467.200012;-580;0
51;3 4 5 9 15 16 17 19 21 22 25 29 30 31 37 39 40 44 45 47 48 53 60 62 ;-467.686279;-492;0
52;1 2 4 5 6 10 16 20 28 32 34 36 37 38 39 43 45 46 47 48 50 54 55 59 60 62 63 64 ;-471.538452;-668;0
53;1 2 7 14 16 17 18 20 23 30 32 37 44 45 46 47 48 53 55 56 57 58 59 60 61 63 64 ;-474.415100;-624;0
54;9 10 11 12 13 14 15 16 19 25 26 27 29 31 34 38 39 40 42 43 50 54 55 57 58 62 63 ;-477.074066;-618;0
55;4 6 9 10 12 19 20 21 24 25 29 31 37 38 41 43 45 46 47 48 52 56 57 58 60 61 62 ;-479.854553;-630;0
56;1 3 7 15 16 17 18 22 23 24 26 27 28 29 31 41 45 46 53 54 55 60 61 62 ;-480.071442;-492;0
57;2 11 15 16 25 26 27 33 34 35 39 40 49 50 52 59 60 63 ;-476.385956;-270;0
58;6 12 13 16 18 19 24 27 30 31 32 33 34 38 40 46 49 50 53 54 58 64 ;-475.379303;-418;0
59;3 4 5 8 10 13 14 20 21 28 32 34 39 42 52 53 55 56 57 59 60 61 64 ;-475.016937;-454;0
60;1 6 13 15 17 20 21 22 23 24 29 30 35 38 39 44 45 48 55 60 63 ;-473.399994;-378;0
61;7 9 14 15 16 23 25 28 29 31 37 41 43 44 46 51 52 53 54 55 56 58 59 61 63 64 ;-475.245911;-586;0
62;9 12 15 16 17 18 27 30 31 32 34 41 50 52 57 58 62 64 ;-471.903229;-268;0
63;2 8 16 28 30 31 32 33 35 36 39 50 51 52 55 56 57 60 62 63 ;-469.777771;-338;0
64;1 2 3 4 5 7 10 14 17 18 19 20 22 23 24 31 39 46 52 55 61 63 ;-468.656250;-398;0
65;1 3 7 8 14 16 19 20 21 22 26 27 28 31 32 33 34 37 42 45 46 51 52 53 57 58 60 ;-471.169220;-632;0
66;2 10 14 16 17 18 19 20 21 24 26 27 31 40 46 47 48 51 53 54 58 59 62 63 64 ;-472.090912;-532;0
67;3 7 10 13 14 19 21 22 23 26 30 39 44 46 49 50 54 60 61 ;-469.611938;-306;0
68;5 7 8 9 10 12 13 14 16 17 20 24 25 28 32 34 38 40 44 45 52 53 55 58 61 64 ;-471.382355;-590;0
69;5 8 9 12 13 14 17 23 25 27 28 30 31 32 38 39 40 41 50 52 54 55 56 61 62 64 ;-473.014496;-584;0
70;1 4 6 7 8 9 10 14 15 16 30 31 32 33 39 40 43 53 59 ;-470.542847;-300;0
71;1 3 5 8 9 15 16 17 19 21 22 23 25 26 29 30 31 32 40 43 46 49 50 51 54 55 59 61 62 ;-474.140839;-726;0
72;2 4 5 7 11 13 14 16 19 20 23 24 26 29 31 32 34 36 41 50 52 56 58 61 63 ;-475.027771;-538;0
73;1 2 3 4 5 7 8 10 16 17 19 21 23 25 32 33 34 37 38 39 40 42 45 49 50 53 55 56 57 58 61 63 64 ;-481.315063;-934;0
74;5 7 8 9 10 11 13 14 16 17 21 22 23 27 36 37 38 42 45 46 53 56 58 59 60 62 64 ;-483.324310;-630;0
75;1 2 5 7 8 15 16 17 18 19 21 26 28 32 37 40 45 46 49 52 53 56 61 62 63 64 ;-484.586670;-578;0
76;3 4 6 9 13 15 21 22 25 29 33 34 35 38 42 43 44 48 58 61 ;-482.657898;-338;0
77;1 2 3 4 5 7 10 12 13 14 16 21 22 27 29 30 33 45 47 52 56 60 62 ;-482.233765;-450;0
78;2 6 9 14 15 16 17 18 19 26 28 32 38 40 41 42 47 49 51 53 ;-480.410248;-340;0
79;4 9 10 11 14 15 18 23 26 28 30 31 37 40 44 45 46 50 51 52 53 54 56 59 60 61 62 ;-482.354431;-634;0
80;1 2 3 7 9 14 16 18 27 33 34 35 39 42 46 47 48 51 52 53 54 56 59 60 62 63 ;-483.625000;-584;0
81;1 2 5 6 7 9 13 17 18 21 22 23 24 27 28 29 43 47 53 56 57 59 60 ;-483.135803;-444;0
82;2 3 8 11 16 18 22 25 26 27 30 32 35 39 43 44 51 55 57 59 61 62 ;-482.195129;-406;0
83;2 5 6 8 9 12 13 14 16 17 19 20 23 25 26 27 28 29 31 32 38 40 41 47 50 52 53 56 57 63 ;-485.855408;-786;0
84;10 12 17 18 21 30 33 35 37 39 40 41 43 49 50 51 53 56 58 59 60 62 63 ;-485.404755;-448;0
85;2 3 6 8 10 11 14 15 16 23 24 25 27 29 31 35 41 43 45 47 48 50 52 57 58 59 60 61 ;-487.576477;-670;0
86;7 9 10 12 17 18 19 21 22 23 27 31 34 36 43 44 47 49 55 57 60 61 ;-486.744171;-416;0
87;1 2 4 6 9 14 15 16 19 22 23 24 25 26 28 32 33 36 41 47 49 54 55 56 ;-486.850586;-496;0
88;2 4 5 8 9 12 13 14 18 19 26 28 34 36 38 40 41 42 44 49 50 56 57 58 60 62 ;-487.863647;-576;0
89;1 2 4 5 8 9 18 19 20 21 22 23 24 26 30 31 32 34 42 46 48 51 54 55 56 57 58 ;-489.393250;-624;0
90;1 2 3 6 7 8 9 10 11 12 14 20 24 25 28 30 33 35 36 37 40 43 44 45 46 47 48 52 53 61 62 ;-493.177765;-830;0
91;1 2 4 6 13 14 22 26 30 31 32 33 34 36 38 39 41 48 50 54 57 58 62 63 ;-493.142853;-490;0
92;1 3 6 9 10 15 19 25 26 27 32 33 37 39 41 43 44 48 49 53 55 56 57 60 64 ;-493.630432;-538;0
93;4 7 8 10 12 17 19 21 23 24 25 29 30 34 36 39 47 49 51 57 62 64 ;-492.731171;-410;0
94;4 8 10 17 21 22 23 26 27 31 32 33 34 35 36 38 40 41 46 54 55 58 62 ;-492.319153;-454;0
95;3 4 6 8 11 19 22 23 25 26 27 31 32 33 41 42 43 47 56 62 63 64 ;-491.473694;-412;0
96;1 6 13 14 16 17 24 27 29 30 31 32 33 35 36 37 41 45 46 52 53 54 58 60 61 64 ;-492.437500;-584;0
97;2 5 8 13 24 25 31 37 38 52 54 57 58 60 61 62 63 64 ;-490.144318;-270;0
98;5 6 8 9 12 13 18 19 20 22 23 24 29 30 32 37 43 45 47 49 50 51 53 54 55 57 60 62 ;-492.081635;-680;0
99;1 3 6 7 8 9 10 11 13 14 15 17 18 19 24 25 26 31 32 33 34 35 37 38 39 42 47 53 54 57 61 62 64 ;-496.707062;-950;0
100;4 5 6 7 8 9 15 18 20 21 22 27 29 30 37 44 47 52 53 54 57 59 60 61 ;-496.660004;-492;0
101;2 4 5 6 7 8 11 15 18 20 22 23 24 27 29 32 33 34 35 37 41 43 45 46 47 49 60 61 ;-498.455444;-678;0
102;3 4 6 10 11 12 16 19 21 25 28 32 33 35 39 55 56 57 58 60 62 ;-497.294128;-380;0
103;2 3 7 10 11 14 16 19 24 26 27 30 34 36 40 41 42 43 50 52 53 56 57 ;-496.873779;-454;0
104;2 3 6 10 12 15 25 26 30 33 40 45 46 47 56 57 58 61 62 ;-495.019226;-304;0
105;1 2 3 7 9 11 12 13 15 16 17 19 20 25 26 28 29 30 32 38 40 43 44 47 54 59 63 64 ;-496.704773;-672;0
106;5 6 8 9 10 12 15 16 20 22 25 26 27 28 34 37 43 44 45 51 52 57 62 63 ;-496.792450;-506;0
107;6 7 8 11 13 14 15 21 22 23 27 28 29 33 35 37 40 43 46 48 55 57 62 ;-496.411224;-456;0
108;1 2 5 7 8 16 17 18 23 25 31 34 38 40 48 49 50 58 59 60 64 ;-495.222229;-368;0
109;1 2 3 6 8 11 13 25 34 36 37 38 42 44 45 47 52 54 56 61 64 ;-494.128448;-376;0
110;1 3 4 9 10 13 16 17 18 20 23 26 33 35 42 51 55 60 62 ;-492.418182;-306;0
111;5 7 8 9 13 14 16 17 20 23 26 32 39 40 43 44 45 47 51 54 63 ;-491.441437;-384;0
112;1 2 6 10 11 12 13 14 15 16 18 22 28 38 47 52 54 59 60 62 63 ;-490.321442;-366;0
113;4 6 7 11 13 15 16 17 18 21 25 26 34 35 36 37 38 40 50 52 53 58 60 62 63 64 ;-491.185852;-588;0
114;1 2 3 6 10 12 13 14 16 17 19 20 24 25 27 28 41 46 50 57 60 63 ;-490.491241;-412;0
115;6 7 8 9 10 14 15 16 20 23 25 26 27 28 33 37 39 40 43 59 60 ;-489.426086;-368;0
116;3 5 8 10 13 14 17 19 23 24 26 27 28 29 30 31 32 34 35 36 38 39 40 51 53 57 58 59 60 61 62 ;-492.396545;-834;0
117;8 12 13 15 21 26 29 30 31 39 40 45 46 56 57 60 ;-490.034180;-216;0
118;3 7 8 11 12 15 18 19 20 22 31 32 34 35 37 38 43 45 46 47 50 54 61 ;-489.677979;-448;0
119;1 2 5 6 7 8 9 17 18 21 30 33 34 36 43 45 47 49 59 62 63 ;-488.672272;-370;0
120;4 9 12 15 17 20 23 24 25 26 27 34 36 38 40 42 44 47 48 49 53 54 56 60 63 ;-489.100006;-540;0
121;3 4 7 10 11 12 15 16 22 24 26 27 28 30 34 36 38 40 42 43 44 46 47 49 50 54 60 62 63 ;-491.024780;-722;0
122;3 4 5 6 9 13 17 19 21 22 23 24 28 29 30 31 32 36 39 44 49 51 53 55 60 61 64 ;-492.081970;-620;0
123;1 3 5 6 7 8 10 15 18 24 25 26 29 30 34 38 39 40 43 47 49 51 59 64 ;-492.130096;-498;0
124;3 4 5 7 8 9 10 12 14 17 18 21 22 23 26 37 38 40 41 42 43 44 45 46 47 48 52 57 58 59 60 ;-494.838715;-828;0
