Trepa-Colinas;;;;
Iteracao;Solucao;MBF;Custo;Best
0;1 2 5 6 13 14 15 19 21 24 ;#NOME?;-48;0
1;2 4 13 14 18 22 24 27 ;-72.000000;-24;0
2;4 5 6 7 8 9 10 18 25 27 ;-59.000000;-46;0
3;7 9 10 11 12 24 26 27 ;-48.666668;-28;0
4;3 4 5 8 9 11 16 20 23 25 ;-50.000000;-54;0
5;4 6 10 16 18 19 21 24 26 28 ;-48.400002;-42;0
6;5 10 19 21 26 27 ;-43.000000;-16;0
7;7 8 9 16 26 28 ;-38.571430;-12;0
8;3 4 5 6 8 13 17 22 25 26 27 ;-41.500000;-62;0
9;2 4 7 11 12 15 16 20 25 ;-40.888889;-36;0
7;7 8 9 16 26 28;-36.799999;-12;1
