Instancias\Testes\Hibrido Instancia-Ins1-Pr0.250000-Pm0.250000-Ger10-Pop10-Iter10;;;;;;;;
Iteracao;Probbilidade de mutacao;Probabilidade de crossover;Tamanho da populacao;Maximo Geracoes;Solucao;MBF;Percentagem de Invalidos;Melhor
0;0.250000;0.250000;10;10;1 3 4 12 19 20 21 22 23 ;#NOME?;100.000000;0
1;0.250000;0.250000;10;10;6 7 9 11 12 13 14 17 19 23 ;-96.000000;100.000000;0
2;0.250000;0.250000;10;10;2 4 6 7 9 10 12 15 16 26 ;-70.000000;100.000000;0
3;0.250000;0.250000;10;10;5 7 8 10 11 14 27 28 ;-57.333332;100.000000;0
4;0.250000;0.250000;10;10;2 3 4 6 9 10 14 16 19 28 ;-54.000000;100.000000;0
5;0.250000;0.250000;10;10;1 3 4 5 9 16 20 25 ;-49.599998;100.000000;0
6;0.250000;0.250000;10;10;6 7 11 17 18 21 23 25 28 ;-48.666668;100.000000;0
7;0.250000;0.250000;10;10;2 4 6 12 13 16 17 18 22 ;-46.857143;100.000000;0
8;0.250000;0.250000;10;10;7 9 13 15 16 17 18 19 21 27 ;-46.500000;100.000000;0
9;0.250000;0.250000;10;10;1 3 13 15 26 28 ;-43.555557;100.000000;0
9;0.250000;0.250000;10;10;1 3 13 15 26 28 ;-39.200001;100.000000;0
