Instancias\Testes\Hibrido Instancia-Ins2-Pr0.250000-Pm0.250000-Ger10-Pop10-Iter10;;;;;;;;
Iteracao;Probbilidade de mutacao;Probabilidade de crossover;Tamanho da populacao;Maximo Geracoes;Solucao;MBF;Percentagem de Invalidos;Melhor
0;0.250000;0.250000;10;10;5 7 8 10 13 25 26 28 29 30 36 43 45 50 53 54 56 58 60 61 63 ;#NOME?;100.000000;0
1;0.250000;0.250000;10;10;2 3 4 6 8 10 12 17 18 22 23 25 26 29 33 35 36 41 42 44 56 58 61 62 63 ;-910.000000;100.000000;0
2;0.250000;0.250000;10;10;4 7 9 10 15 18 20 22 25 26 28 30 31 36 38 39 42 49 53 54 56 59 ;-664.000000;100.000000;0
3;0.250000;0.250000;10;10;3 4 5 8 11 14 15 18 20 25 27 29 30 38 43 44 48 52 56 60 64 ;-568.666687;100.000000;0
4;0.250000;0.250000;10;10;1 10 14 16 17 20 21 22 27 32 34 36 45 50 52 54 55 56 59 62 64 ;-521.000000;100.000000;0
5;0.250000;0.250000;10;10;1 5 8 9 12 15 17 25 27 29 31 32 34 38 42 46 48 52 57 59 ;-485.200012;100.000000;0
6;0.250000;0.250000;10;10;3 5 10 12 13 16 17 18 19 26 28 32 35 36 38 41 45 47 50 51 54 58 63 64 ;-487.333344;100.000000;0
7;0.250000;0.250000;10;10;2 9 10 11 16 17 18 20 21 22 24 25 26 28 30 31 33 34 35 36 43 44 47 56 59 60 ;-500.571442;100.000000;0
8;0.250000;0.250000;10;10;1 3 5 6 9 11 17 24 27 28 30 32 37 38 39 41 43 52 53 55 59 62 64 ;-494.500000;100.000000;0
9;0.250000;0.250000;10;10;3 4 5 9 13 16 19 20 32 33 38 42 43 46 49 51 52 56 62 ;-474.000000;100.000000;0
9;0.250000;0.250000;10;10;3 4 5 9 13 16 19 20 32 33 38 42 43 46 49 51 52 56 62 ;-426.600006;100.000000;0
