Instancias\Testes\Hibrido Instancia-Ins1-Pr0.010000-Pm0.010000-Ger10-Pop10-Iter10;;;;;;;;
Iteracao;Probbilidade de mutacao;Probabilidade de crossover;Tamanho da populacao;Maximo Geracoes;Solucao;MBF;Percentagem de Invalidos;Melhor
0;0.010000;0.010000;10;10;3 5 6 7 18 19 20 22 28 ;#NOME?;100.000000;0
1;0.010000;0.010000;10;10;1 2 7 8 11 15 17 20 21 22 23 ;-92.000000;100.000000;0
2;0.010000;0.010000;10;10;2 6 7 8 10 11 12 13 20 25 ;-72.000000;100.000000;0
3;0.010000;0.010000;10;10;4 9 11 14 15 17 18 ;-56.666668;100.000000;0
4;0.010000;0.010000;10;10;1 2 3 5 8 14 17 18 22 23 24 ;-55.500000;100.000000;0
5;0.010000;0.010000;10;10;1 2 3 4 5 7 8 13 24 25 ;-53.200001;100.000000;0
6;0.010000;0.010000;10;10;1 3 4 5 8 11 13 15 17 27 28 ;-54.666668;100.000000;0
7;0.010000;0.010000;10;10;4 6 7 9 12 15 20 22 23 24 28 ;-56.285713;100.000000;0
8;0.010000;0.010000;10;10;2 3 4 6 9 10 22 24 ;-51.750000;100.000000;0
9;0.010000;0.010000;10;10;1 2 3 7 8 13 15 19 21 24 28 ;-53.333332;100.000000;0
8;0.010000;0.010000;10;10;2 3 4 6 9 10 22 24 ;-48.000000;100.000000;0
