Instancias\Testes\Hibrido Instancia-Ins2-Pr0.010000-Pm0.010000-Ger50-Pop50-Iter10;;;;;;;;
Iteracao;Probbilidade de mutacao;Probabilidade de crossover;Tamanho da populacao;Maximo Geracoes;Solucao;MBF;Percentagem de Invalidos;Melhor
0;0.010000;0.010000;50;50;2 4 6 8 9 10 11 13 16 17 19 21 26 27 35 37 43 47 53 57 58 64 ;#NOME?;100.000000;0
1;0.010000;0.010000;50;50;7 13 14 28 29 31 32 35 42 43 46 48 49 50 51 53 54 55 60 61 64 ;-794.000000;100.000000;0
2;0.010000;0.010000;50;50;2 8 9 19 21 22 23 24 27 28 30 31 33 36 37 50 52 55 58 ;-552.000000;100.000000;0
3;0.010000;0.010000;50;50;3 4 8 17 19 21 25 31 33 38 48 49 53 54 59 60 62 63 ;-459.333344;100.000000;0
4;0.010000;0.010000;50;50;1 2 3 11 21 25 28 29 30 34 35 37 38 39 41 42 43 46 48 49 50 51 ;-448.000000;100.000000;0
5;0.010000;0.010000;50;50;5 7 9 10 11 15 21 22 26 29 31 32 34 38 46 59 61 ;-406.799988;100.000000;0
6;0.010000;0.010000;50;50;2 4 6 7 8 9 10 17 25 29 31 35 37 38 41 42 43 49 54 57 59 60 62 ;-414.333344;100.000000;0
7;0.010000;0.010000;50;50;5 9 15 16 21 25 26 27 34 37 45 47 48 50 51 52 53 55 59 63 64 ;-408.000000;100.000000;0
8;0.010000;0.010000;50;50;2 8 13 15 17 19 24 25 34 35 36 38 39 40 46 52 56 61 63 64 ;-399.250000;100.000000;0
9;0.010000;0.010000;50;50;5 8 9 16 17 20 21 23 24 30 36 37 40 45 46 48 53 55 56 60 64 ;-396.000000;100.000000;0
5;0.010000;0.010000;50;50;5 7 9 10 11 15 21 22 26 29 31 32 34 38 46 59 61 ;-356.399994;100.000000;0
