Instancias\Testes\Evolutivo Instancia-Ins2-Pr0.050000-Pm0.050000-Ger10-Pop10-Iter100;;;;;;;;
Iteracao;Probbilidade de mutacao;Probabilidade de crossover;Tamanho da populacao;Maximo Geracoes;Solucao;MBF;Percentagem de Invalidos;Melhor
0;0.050000;0.050000;10;10;5 6 8 9 10 14 19 20 24 25 28 32 33 36 39 46 48 49 53 54 58 61 ;#NOME?;100.000000;0
1;0.050000;0.050000;10;10;15 16 17 25 26 27 30 31 32 34 35 38 39 41 43 45 49 52 55 58 60 62 ;-844.000000;100.000000;0
2;0.050000;0.050000;10;10;3 4 5 7 8 9 10 12 19 20 22 23 28 30 32 33 34 36 41 48 51 54 58 60 ;-671.000000;100.000000;0
3;0.050000;0.050000;10;10;16 18 20 26 28 31 32 33 40 45 46 47 48 49 55 58 61 63 64 ;-546.000000;100.000000;0
4;0.050000;0.050000;10;10;1 2 3 4 7 9 11 15 16 22 23 24 26 28 29 34 35 36 43 46 48 50 54 55 56 58 59 60 61 63 ;-606.500000;100.000000;0
5;0.050000;0.050000;10;10;1 2 4 5 9 10 16 17 19 20 22 28 30 34 38 39 40 43 46 48 60 63 ;-569.200012;100.000000;0
6;0.050000;0.050000;10;10;1 5 6 9 10 11 15 16 17 20 32 37 40 41 43 45 46 50 52 54 56 60 62 ;-550.333313;100.000000;0
7;0.050000;0.050000;10;10;1 4 6 7 8 9 11 12 18 20 25 27 29 36 38 39 41 44 53 54 55 59 64 ;-537.142883;100.000000;0
8;0.050000;0.050000;10;10;2 5 9 10 11 13 15 18 22 24 25 28 30 31 33 35 39 44 48 53 55 56 60 63 64 ;-538.000000;100.000000;0
9;0.050000;0.050000;10;10;1 9 10 11 13 23 25 26 29 30 33 34 35 39 40 47 50 51 53 54 56 59 ;-524.222229;100.000000;0
10;0.050000;0.050000;10;10;1 5 6 8 16 19 23 24 25 27 30 32 33 35 37 38 45 48 51 52 54 56 57 59 ;-520.799988;100.000000;0
